"hh","u","v","IntegrationTime","Velocity:0","Velocity:1","Velocity:2","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
11.28,103.49,2.2813e-007,-3.4674e+007,-2.9251e-007,2.3816e-008,0,0,0,0,0,0,2.7674e-009,3.3205e-008,-1,9.5429,0.93057,0
11.195,102.87,2.1996e-007,-3.5638e+007,-3.0012e-007,2.3816e-008,0,0,0,0,0,0,2.9412e-009,3.9315e-008,-1,9.8249,0.90814,0
11.109,102.2,2.1526e-007,-3.6577e+007,-3.0876e-007,2.1045e-008,0,0,0,0,0,0,2.8363e-009,4.2051e-008,-1,10.107,0.88837,0
11.021,101.51,2.1491e-007,-3.7491e+007,-3.1212e-007,1.7684e-008,0,0,0,0,0,0,2.5422e-009,4.207e-008,-1,10.389,0.87007,0
10.932,100.77,2.0906e-007,-3.8396e+007,-3.1604e-007,1.7684e-008,0,0,0,0,0,0,2.1102e-009,4.2094e-008,-1,10.672,0.85425,0
10.841,99.992,1.8688e-007,-3.9289e+007,-3.2172e-007,1.379e-008,0,0,0,0,0,0,1.7498e-009,4.2111e-008,-1,10.954,0.84175,0
10.75,99.188,1.9458e-007,-4.0168e+007,-3.2563e-007,9.4568e-009,0,0,0,0,0,0,1.5169e-009,4.4678e-008,-1,11.237,0.83076,0
10.657,98.349,1.9586e-007,-4.1036e+007,-3.2563e-007,9.4568e-009,0,0,0,0,0,0,1.063e-009,4.711e-008,-1,11.52,0.82255,0
10.565,97.468,2.0256e-007,-4.1904e+007,-3.2761e-007,4.8101e-009,0,0,0,0,0,0,1.063e-009,4.711e-008,-1,11.802,0.818,0
12.49,94.898,2.2531e-007,0,-1.4666e-007,5.7847e-008,0,0,0,0,0,0,0,0,1,4.5,3,0
12.446,95.529,2.7161e-007,-1.794e+006,-1.41e-007,6.3511e-008,0,0,0,0,0,0,0,0,1,4.7616,2.8926,0
12.399,96.123,3.0555e-007,-3.6231e+006,-1.5535e-007,5.9552e-008,0,0,0,0,0,0,0,0,1,5.0237,2.7864,0
12.35,96.631,2.6841e-007,-5.3232e+006,-1.6955e-007,5.9552e-008,0,0,0,0,0,0,0,0,1,5.2886,2.6873,0
12.3,97.146,2.3022e-007,-6.8971e+006,-1.6495e-007,6.4157e-008,0,0,0,0,0,0,0,0,1,5.5525,2.5856,0
12.247,97.57,1.9069e-007,-8.4952e+006,-1.799e-007,6.4157e-008,0,0,0,0,0,0,0,0,1,5.8186,2.4899,0
12.192,97.989,1.5789e-007,-9.9761e+006,-1.911e-007,6.057e-008,0,0,0,0,0,0,4.8026e-009,1.4106e-008,1,6.0844,2.3931,0
12.135,98.277,1.9655e-007,-1.1387e+007,-1.911e-007,6.057e-008,0,0,0,0,0,0,6.2248e-009,2.0133e-008,1,6.354,2.3076,0
12.075,98.494,2.2965e-007,-1.2798e+007,-2.0317e-007,6.3375e-008,0,0,0,0,0,0,6.1211e-009,2.0165e-008,1,6.6248,2.226,0
12.014,98.704,2.6177e-007,-1.4127e+007,-2.183e-007,6.3375e-008,0,0,0,0,0,0,7.4143e-009,2.4722e-008,1,6.8953,2.1433,0
11.95,98.86,2.9579e-007,-1.5371e+007,-2.1605e-007,6.5624e-008,0,0,0,0,0,0,9.056e-009,3.2066e-008,1,7.1666,2.0635,0
11.882,98.926,3.1715e-007,-1.6624e+007,-2.3124e-007,5.3738e-008,0,0,0,0,0,0,8.7998e-009,3.5424e-008,1,7.4396,1.9896,0
